sample,fastq_1,ont
TX-DSHS-26779.BD8L11.2025-05-19.01.A01,/bioinformatics/Covid/cecret_runs/TX-CL001-250519/reads/TX-DSHS-26779.BD8L11.2025-05-19.01.A01.fasta,ont
TX-DSHS-26780.BD8L11.2025-05-19.01.B01,/bioinformatics/Covid/cecret_runs/TX-CL001-250519/reads/TX-DSHS-26780.BD8L11.2025-05-19.01.B01.fasta,ont
TX-DSHS-26781.BD8L11.2025-05-19.01.C01,/bioinformatics/Covid/cecret_runs/TX-CL001-250519/reads/TX-DSHS-26781.BD8L11.2025-05-19.01.C01.fasta,ont
TX-DSHS-26782.BD8L11.2025-05-19.01.D01,/bioinformatics/Covid/cecret_runs/TX-CL001-250519/reads/TX-DSHS-26782.BD8L11.2025-05-19.01.D01.fasta,ont
TX-DSHS-26783.BD8L11.2025-05-19.01.E01,/bioinformatics/Covid/cecret_runs/TX-CL001-250519/reads/TX-DSHS-26783.BD8L11.2025-05-19.01.E01.fasta,ont
TX-DSHS-26784.BD8L11.2025-05-19.01.F01,/bioinformatics/Covid/cecret_runs/TX-CL001-250519/reads/TX-DSHS-26784.BD8L11.2025-05-19.01.F01.fasta,ont
WaterSpacer.BD8L11.2025-05-19.01.A02,/bioinformatics/Covid/cecret_runs/TX-CL001-250519/reads/WaterSpacer.BD8L11.2025-05-19.01.A02.fasta,ont
WaterSpacer.BD8L11.2025-05-19.01.B02,/bioinformatics/Covid/cecret_runs/TX-CL001-250519/reads/WaterSpacer.BD8L11.2025-05-19.01.B02.fasta,ont
WaterSpacer.BD8L11.2025-05-19.01.C02,/bioinformatics/Covid/cecret_runs/TX-CL001-250519/reads/WaterSpacer.BD8L11.2025-05-19.01.C02.fasta,ont
WaterSpacer.BD8L11.2025-05-19.01.D02,/bioinformatics/Covid/cecret_runs/TX-CL001-250519/reads/WaterSpacer.BD8L11.2025-05-19.01.D02.fasta,ont
WaterSpacer.BD8L11.2025-05-19.01.E02,/bioinformatics/Covid/cecret_runs/TX-CL001-250519/reads/WaterSpacer.BD8L11.2025-05-19.01.E02.fasta,ont
WaterSpacer.BD8L11.2025-05-19.01.F02,/bioinformatics/Covid/cecret_runs/TX-CL001-250519/reads/WaterSpacer.BD8L11.2025-05-19.01.F02.fasta,ont
WaterSpacer.BD8L11.2025-05-19.01.G01,/bioinformatics/Covid/cecret_runs/TX-CL001-250519/reads/WaterSpacer.BD8L11.2025-05-19.01.G01.fasta,ont
WaterSpacer.BD8L11.2025-05-19.01.G02,/bioinformatics/Covid/cecret_runs/TX-CL001-250519/reads/WaterSpacer.BD8L11.2025-05-19.01.G02.fasta,ont
WaterSpacer.BD8L11.2025-05-19.01.H01,/bioinformatics/Covid/cecret_runs/TX-CL001-250519/reads/WaterSpacer.BD8L11.2025-05-19.01.H01.fasta,ont
WaterSpacer.BD8L11.2025-05-19.01.H02,/bioinformatics/Covid/cecret_runs/TX-CL001-250519/reads/WaterSpacer.BD8L11.2025-05-19.01.H02.fasta,ont
